===============================================================================================================
Blast BS
===============================================================================================================
Bit: 0, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 1, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 2, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 3, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 4, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 5, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 6, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 7, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 8, MSE: nan, MAE: nan, MRE: nan, PAP: 0.998
Bit: 9, MSE: 0.002193424481674131, MAE: 0.4581331645954023, MRE: 0.3067342626445115, PAP: 0.222
Bit: 10, MSE: 0.0007639531239242111, MAE: 0.20088265004597552, MRE: 0.1677825469866612, PAP: 0.144
Bit: 11, MSE: 3.558349314785202e-07, MAE: 0.0970795817796027, MRE: 0.10321024513218256, PAP: 0.110
Bit: 12, MSE: 1.2126812455346954e-07, MAE: 0.05048002521806263, MRE: 0.05128365659503544, PAP: 0.066
Bit: 13, MSE: 6.85730423832078e-08, MAE: 0.02603371284359871, MRE: 0.02666981724237734, PAP: 0.039
Bit: 14, MSE: 3.535239533017307e-08, MAE: 0.018462611137676024, MRE: 0.019795265697221787, PAP: 0.044
Bit: 15, MSE: 2.455762707437467e-08, MAE: 0.013953820551704169, MRE: 0.01432292499749177, PAP: 0.039
Bit: 16, MSE: 8.214697336468513e-09, MAE: 0.009388477400982984, MRE: 0.010398266207193387, PAP: 0.012
Bit: 17, MSE: 3.2216805670382354e-09, MAE: 0.007231980844211291, MRE: 0.0072906699218546886, PAP: 0.007
Bit: 18, MSE: 2.692943885832438e-09, MAE: 0.006857282416435836, MRE: 0.006945489903369868, PAP: 0.005
Bit: 19, MSE: 2.252997703425478e-09, MAE: 0.006539091028357244, MRE: 0.007394267495002668, PAP: 0.006
Bit: 20, MSE: 4.542487717864354e-09, MAE: 0.004172389914172607, MRE: 0.004739472819731652, PAP: 0.016
Bit: 21, MSE: 3.5512252347080386e-10, MAE: 0.0031055181543309823, MRE: 0.0032226406634761396, PAP: 0.001
Bit: 22, MSE: 1.5617385020917774e-10, MAE: 0.002304590873063894, MRE: 0.002462375674131104, PAP: 0.001
Bit: 23, MSE: 1.0354437091536642e-10, MAE: 0.0017102317044318527, MRE: 0.001748036400706408, PAP: 0.000
Bit: 24, MSE: 2.4033284276188878e-11, MAE: 0.0005948637774347991, MRE: 0.0006090518984907464, PAP: 0.000
Bit: 25, MSE: 1.5980431878227807e-12, MAE: 0.0001857143763036792, MRE: 0.00018415124357380904, PAP: 0.000
Bit: 26, MSE: 4.263658868412149e-12, MAE: 0.00017181778668543904, MRE: 0.00016952337741057754, PAP: 0.000
Bit: 27, MSE: 4.287432134933384e-10, MAE: 0.000683376612285097, MRE: 0.0008910966405604951, PAP: 0.001
Bit: 28, MSE: 1.7150097455094203e-10, MAE: 0.0002763941346289933, MRE: 0.0003593170368096673, PAP: 0.000
Bit: 29, MSE: 6.4595963702676634e-18, MAE: 4.672096141796821e-07, MRE: 4.459684905859261e-07, PAP: 0.000
Bit: 30, MSE: 3.341052385529889e-12, MAE: 0.0001311354120870726, MRE: 0.00011105669523928607, PAP: 0.000
Bit: 31, MSE: 1.6100327063309104e-19, MAE: 1.0246986662086562e-07, MRE: 1.0293692782438358e-07, PAP: 0.000
Bit: 32, MSE: 4.456109021919058e-20, MAE: 4.537326701766394e-08, MRE: 4.811691203707903e-08, PAP: 0.000
Bit: 33, MSE: 2.6730280371481e-20, MAE: 2.973340058960205e-08, MRE: 2.9825031724883124e-08, PAP: 0.000
Bit: 34, MSE: 1.8538279170758436e-20, MAE: 1.517463856590886e-08, MRE: 1.5531122569811826e-08, PAP: 0.000
Bit: 35, MSE: 1.622440515147901e-20, MAE: 8.393510138388948e-09, MRE: 8.344427506115656e-09, PAP: 0.000
Bit: 36, MSE: 1.5777694613896877e-20, MAE: 7.2126065904101595e-09, MRE: 7.0908944689365505e-09, PAP: 0.000
Bit: 37, MSE: 1.5512588465883052e-20, MAE: 7.042586878748734e-09, MRE: 6.932994765990779e-09, PAP: 0.000
Bit: 38, MSE: 1.5466351870912492e-20, MAE: 6.754062812298818e-09, MRE: 6.553308498278649e-09, PAP: 0.000
Bit: 39, MSE: 1.5598404586311152e-20, MAE: 7.489699055396315e-09, MRE: 7.409199279900343e-09, PAP: 0.000
Bit: 40, MSE: 1.5683065494073706e-20, MAE: 7.2342081658405276e-09, MRE: 7.046744438071071e-09, PAP: 0.000
Bit: 41, MSE: 1.5590556402245603e-20, MAE: 7.213151131946205e-09, MRE: 7.089379956123193e-09, PAP: 0.000
Bit: 42, MSE: 1.5717651307529305e-20, MAE: 6.927752871366266e-09, MRE: 6.797722761300941e-09, PAP: 0.000
Bit: 43, MSE: 1.5673988809623166e-20, MAE: 7.985258428847649e-09, MRE: 7.884943457127514e-09, PAP: 0.000
Bit: 44, MSE: 1.573919179376313e-20, MAE: 8.475091782688004e-09, MRE: 8.46229765143391e-09, PAP: 0.000
Bit: 45, MSE: 1.554390864992174e-20, MAE: 7.8456764418533e-09, MRE: 7.770692653701411e-09, PAP: 0.000
Bit: 46, MSE: 1.520551760563222e-20, MAE: 6.466937917269809e-09, MRE: 6.332805590112941e-09, PAP: 0.000
Bit: 47, MSE: 1.5638934455034408e-20, MAE: 8.045253666969879e-09, MRE: 8.057290164838091e-09, PAP: 0.000
Bit: 48, MSE: 1.5804427197037633e-20, MAE: 7.524216574581125e-09, MRE: 7.462034128285901e-09, PAP: 0.000
Bit: 49, MSE: 1.549925045461329e-20, MAE: 7.470088273879109e-09, MRE: 7.507425339741397e-09, PAP: 0.000
Bit: 50, MSE: 1.542171511440098e-20, MAE: 7.2041194454364185e-09, MRE: 7.196888469831074e-09, PAP: 0.000
Bit: 51, MSE: 1.5651540300777037e-20, MAE: 6.783582877962451e-09, MRE: 6.814400220061899e-09, PAP: 0.000
Bit: 52, MSE: 1.5631399052466338e-20, MAE: 7.305495208775881e-09, MRE: 7.244363199674659e-09, PAP: 0.000
Bit: 53, MSE: 1.5595680203840903e-20, MAE: 7.764917010964569e-09, MRE: 7.699748671917597e-09, PAP: 0.000
Bit: 54, MSE: 1.5392296203902548e-20, MAE: 8.028958617614443e-09, MRE: 7.998817946385403e-09, PAP: 0.000
Bit: 55, MSE: 1.552870862782529e-20, MAE: 6.985049803522368e-09, MRE: 7.0542363791945604e-09, PAP: 0.000
Bit: 56, MSE: 1.5547194327756222e-20, MAE: 6.891628490102164e-09, MRE: 6.863442759113093e-09, PAP: 0.000
Bit: 57, MSE: 1.5697331921502718e-20, MAE: 6.959538305128423e-09, MRE: 6.877237862930778e-09, PAP: 0.000
Bit: 58, MSE: 1.5628704261055322e-20, MAE: 6.829114507223011e-09, MRE: 6.759984590615663e-09, PAP: 0.000
Bit: 59, MSE: 1.549437023529669e-20, MAE: 6.8998275796576065e-09, MRE: 6.584727979997812e-09, PAP: 0.000
Bit: 60, MSE: 1.5679063689414834e-20, MAE: 7.730915181529514e-09, MRE: 7.591297242702304e-09, PAP: 0.000
Bit: 61, MSE: 1.558783928441717e-20, MAE: 8.341724588856181e-09, MRE: 8.303594523659319e-09, PAP: 0.000
Bit: 62, MSE: 1.5412457661718954e-20, MAE: 7.748895762086743e-09, MRE: 7.524998942289221e-09, PAP: 0.000
Bit: 63, MSE: 1.542001995897781e-20, MAE: 7.812395930173465e-09, MRE: 7.726191876633219e-09, PAP: 0.000


===============================================================================================================
Sod
===============================================================================================================
Bit: 1, MSE: 0.5131450361043212, MAE: 1.298460202168838, MRE: 0.9999999999229859, PAP: 1.000
Bit: 2, MSE: 0.5131450361043218, MAE: 1.2984602021688392, MRE: 0.999999999922985, PAP: 1.000
Bit: 3, MSE: 0.5131450361043212, MAE: 1.2984602021688383, MRE: 0.9999999999229859, PAP: 1.000
Bit: 4, MSE: 0.5131450361043212, MAE: 1.298460202168838, MRE: 0.9999999999229853, PAP: 1.000
Bit: 5, MSE: 0.5131450361043212, MAE: 1.2984602021688383, MRE: 0.9999999999229859, PAP: 1.000
Bit: 6, MSE: 0.4062398265852109, MAE: 1.0316851692531068, MRE: 0.7967662287619426, PAP: 0.802
Bit: 7, MSE: 0.19149747056431263, MAE: 0.511144743082543, MRE: 0.43306855903544395, PAP: 0.616
Bit: 8, MSE: 0.009868313767638028, MAE: 0.028965576456622472, MRE: 0.0267047908094965, PAP: 0.334
Bit: 9, MSE: 5.350374597003529e-09, MAE: 0.0012918569379516648, MRE: 0.0026940234553489775, PAP: 0.081
Bit: 10, MSE: 1.1454071333883398e-08, MAE: 0.001369345684411634, MRE: 0.002378177714347688, PAP: 0.041
Bit: 11, MSE: 1.4210640805900786e-09, MAE: 0.0011315252577994925, MRE: 0.0019482174708874344, PAP: 0.020
Bit: 12, MSE: 6.268157344146838e-10, MAE: 0.0011034163749804198, MRE: 0.0020498118155787568, PAP: 0.004
Bit: 13, MSE: 1.498230668752577e-10, MAE: 0.0003548920793365582, MRE: 0.0006660155739536869, PAP: 0.000
Bit: 14, MSE: 5.225775283153593e-11, MAE: 0.00025459949944226076, MRE: 0.0004736981138810441, PAP: 0.000
Bit: 15, MSE: 8.78674378880904e-12, MAE: 7.043487997516271e-05, MRE: 0.00011791419415669916, PAP: 0.000
Bit: 16, MSE: 3.671894487836419e-12, MAE: 4.217297473167843e-05, MRE: 6.687007365403882e-05, PAP: 0.000
Bit: 17, MSE: 2.2050289789304474e-13, MAE: 8.540605160959705e-06, MRE: 1.9506135988110058e-05, PAP: 0.000
Bit: 18, MSE: 9.580173972028813e-14, MAE: 4.209651926565369e-06, MRE: 7.728801424646542e-06, PAP: 0.000
Bit: 19, MSE: 1.8638142422749773e-14, MAE: 2.3433917581293528e-06, MRE: 4.489165905345273e-06, PAP: 0.000
Bit: 20, MSE: 3.6056349686133285e-15, MAE: 7.898555905207679e-07, MRE: 1.3784807547551223e-06, PAP: 0.000
